candidate_image_id,sample_name,display_label,category,candidate_path,intensity_percent,neural_style_strength,nst_content_condition,style_relative_frobenius,style_absolute_frobenius,spatial_relative_rms,spatial_mean_cosine_distance,topology_variant,relations_preserved,total_relations,relation_fraction,relation_review_method,nst_final_total_loss,nst_final_content_loss,nst_final_style_loss,nst_final_tv_loss
geometry-000-d3bb192d6f,geometry-000,Geometry 0%,geometry,outputs/transformations/geometry/geometry-000.png,0.0,,,0.0,0.0,0.0,-1.3480247011236438e-17,,,,,,,,,
geometry-025-60ce003390,geometry-025,Geometry 25%,geometry,outputs/transformations/geometry/geometry-025.png,25.0,,,0.08854303060038991,0.10869193840666477,0.4699324833180391,0.09709733112441676,,,,,,,,,
geometry-050-76769f29ab,geometry-050,Geometry 50%,geometry,outputs/transformations/geometry/geometry-050.png,50.0,,,0.10427830291528277,0.13105182664103027,0.6863037692536622,0.20019192603213895,,,,,,,,,
geometry-075-25f54286a0,geometry-075,Geometry 75%,geometry,outputs/transformations/geometry/geometry-075.png,75.0,,,0.11845287332806524,0.1438085836235372,0.8289016115130962,0.2864994640303597,,,,,,,,,
geometry-100-a19aaa76aa,geometry-100,Geometry 100%,geometry,outputs/transformations/geometry/geometry-100.png,100.0,,,0.12666356472188006,0.1600163208865295,0.9188680604193241,0.35254596110779196,geometry-100,5,5,1.0,manual visual audit,,,,
style-baseline-000-d3bb192d6f,style-baseline-000,Style 0%,deterministic-style,outputs/transformations/style/style-baseline-000.png,0.0,,,0.0,0.0,0.0,-1.3480247011236438e-17,,,,,,,,,
style-baseline-025-b09b9f6f4d,style-baseline-025,Style 25%,deterministic-style,outputs/transformations/style/style-baseline-025.png,25.0,,,0.07952104914980748,0.08676053781917319,0.09061713083389594,0.005927042891992217,,,,,,,,,
style-baseline-050-cf0f55cb68,style-baseline-050,Style 50%,deterministic-style,outputs/transformations/style/style-baseline-050.png,50.0,,,0.15688472619412558,0.1734384445799068,0.15538923741524294,0.013245809858752358,,,,,,,,,
style-baseline-075-d6ba608a2a,style-baseline-075,Style 75%,deterministic-style,outputs/transformations/style/style-baseline-075.png,75.0,,,0.22998748957510565,0.2555899224818484,0.21447266859025796,0.022908580254207125,,,,,,,,,
style-baseline-100-65957c81fc,style-baseline-100,Style 100%,deterministic-style,outputs/transformations/style/style-baseline-100.png,100.0,,,0.30250781113531083,0.3374112690410147,0.26925414594201125,0.033344877534971784,,,,,,,,,
topology-original-d3bb192d6f,topology-original,Topology: original,topology,outputs/transformations/topology/topology-original.png,0.0,,,0.0,0.0,0.0,-1.3480247011236438e-17,original,5,5,1.0,manual visual audit,,,,
topology-mirror-deletion-35ba0b3128,topology-mirror-deletion,Topology: mirror deletion,topology,outputs/transformations/topology/topology-mirror-deletion.png,100.0,,,0.021896527294493113,0.02113314189923044,0.09276891071491822,0.002515085244347844,mirror-deletion,4,5,0.8,manual visual audit,,,,
topology-matched-control-4dd39543b0,topology-matched-control,Topology: matched control,topology,outputs/transformations/topology/topology-matched-control.png,100.0,,,0.024935655236508293,0.023514157354620677,0.08429480155559115,0.0015112625597142673,matched-control,5,5,1.0,manual visual audit,,,,
topology-sham-warp-f858a1db09,topology-sham-warp,Topology: sham warp,topology,outputs/transformations/topology/topology-sham-warp.png,100.0,,,0.03650524076048721,0.04433236035664495,0.058172772102764565,0.00361593112175109,,,,,,,,,
combined-geometry-style-100-27ede2c6e0,combined-geometry-style-100,Deterministic style + geometry 100%,combined,outputs/transformations/combined-geometry-style-100.png,100.0,,,0.32099155014780933,0.35246381827967416,0.9806722270926779,0.3631478950643798,,,,,,,,,
neural-style-strength-0p25-c158f8ad52,neural-style-strength-0p25,NST 0.25×,neural-style,outputs/neural-style-transfer/neural-style-strength-0p25.png,,0.25,working-proxy,0.5029598328813889,0.5049971186824144,0.4287778636659952,0.10448547508316226,,,,,,0.5890769958496094,0.229792982339859,1.437092919331917e-06,0.10794401168823242
neural-style-strength-0p5-c4a4c516d7,neural-style-strength-0p5,NST 0.5×,neural-style,outputs/neural-style-transfer/neural-style-strength-0p5.png,,0.5,working-proxy,0.5303100792936479,0.5367032740256147,0.45336331955234127,0.11481807601281115,,,,,,0.8133605718612671,0.3516882658004761,9.233235687133856e-07,0.1050027534365654
neural-style-strength-1-4c716da10d,neural-style-strength-1,NST 1.0×,neural-style,outputs/neural-style-transfer/neural-style-strength-1.png,,1.0,working-proxy,0.5549039397188248,0.5688385022334664,0.4821979120627928,0.1297876481872588,neural-style-1,5,5,1.0,manual visual audit,1.169532299041748,0.576397180557251,5.931246960244607e-07,0.10461539775133133
neural-style-strength-1-e731e19ea5,neural-style-strength-1,NST 1.0× + geometry 100%,combined,outputs/neural-style-transfer-combined/neural-style-strength-1.png,100.0,1.0,geometry-100,0.5675841353057072,0.5818103532882867,0.9083451572053135,0.400364594809078,combined-neural-geometry,5,5,1.0,manual visual audit,1.1978967189788818,0.5906821489334106,6.072042424420943e-07,0.10238693654537201
entering-las-meninas-final-6b697a5de5,entering-las-meninas-final,Final artwork,final-artwork,outputs/artwork/entering-las-meninas-final.png,,,,0.46142832037366854,0.4839894348028217,0.8090895469068382,0.3637661388430959,final-artwork,5,5,1.0,manual visual audit; mirror identity changed from royal couple to contemporary viewer,,,,
picasso-fd3932138d,picasso,Picasso,picasso,pics/picasso.png,,,,1.4196071280384739,1.3650927587146575,1.3785915687017474,0.7139354333703495,,,,,,,,,
